"title";"link";"size"
"MICROSOFT_PRESS_EBOOK_DEPLOYING_WINDOWS_10_PDF.PDF";"http://ligman.me/29ngkYn";"5.2MB"
"MICROSOFT_PRESS_EBOOK_DEPLOYING_WINDOWS_10_EPUB.EPUB";"http://ligman.me/29jL5wW";"6.8MB"
"MICROSOFT_PRESS_EBOOK_DEPLOYING_WINDOWS_10_MOBI.MOBI";"http://ligman.me/29afIRV";"15.9MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_10_PDF.PDF";"http://ligman.me/29pyHgR";"15.8MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_10_EPUB.EPUB";"http://ligman.me/29dmbfC";"15.7MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_10_MOBI.MOBI";"http://ligman.me/29ollRF";"38.7MB"
"MICROSOFT_PRESS_EBOOK_WINDOWS_10_TOOLS_8.5X11.PDF";"http://ligman.me/29gvv67";"9.6MB"
"MICROSOFT_PRESS_EBOOK_WINDOWS_10_TOOLS_MOBILE-ONLY.PDF";"http://ligman.me/29pzkHg";"8.7MB"
"Windows-10-Volume-Licensing-Guide.pdf";"http://ligman.me/29CWQ20";"0.4MB"
"<unavailable>";"http://ligman.me/1G0Cm7T";"<null>"
"Microsoft MADP Whitepaper.pdf";"http://ligman.me/29vDVrw";"2.5MB"
"<unavailable>";"http://ligman.me/29CW4SV";"<null>"
"<unavailable>";"http://ligman.me/29G1z1N";"<null>"
"<unavailable>";"http://ligman.me/29yWAAO";"<null>"
"Accessibility-guide-for-educators-v5.pdf";"http://ligman.me/29DHWHq";"1.4MB"
"Azure-AD-Windows-10-better-together.docx";"http://ligman.me/1HGwMgm";"5.4MB"
"Better_Together_WIn_10_EMS datasheet.pdf";"http://ligman.me/29yUVeH";"0.3MB"
"<unavailable>";"http://ligman.me/29ErxWs";"<null>"
"<unavailable>";"http://ligman.me/29EsHkr";"<null>"
"<unavailable>";"http://ligman.me/29v5zCF";"<null>"
"<unavailable>";"http://ligman.me/1H32nUT";"<null>"
"<unavailable>";"http://ligman.me/29yixk9";"<null>"
"<unavailable>";"http://ligman.me/29vq6d2";"<null>"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_8_PDF.PDF";"http://ligman.me/29cvrjG";"8.4MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_8_EPUB.EPUB";"http://ligman.me/29pzjTR";"9MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_8_MOBI.MOBI";"http://ligman.me/29rPOf6";"15.2MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_ITPRO_PDF.PDF";"http://ligman.me/29ctW9z";"10.9MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_ITPRO_EPUB.EPUB";"http://ligman.me/29gvoHt";"21.4MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_ITPRO_MOBI.MOBI";"http://ligman.me/29gvfEd";"39.2MB"
"MicrosoftDeploymentToolkit2013_x64.msi";"http://ligman.me/29LvcBg";"19.2MB"
"MicrosoftDeploymentToolkit2013_x86.msi";"http://ligman.me/29DS3gJ";"18.7MB"
"Win8_Accessibility_Tutorials.doc";"http://ligman.me/1q9L65I";"4.8MB"
"Microsoft_Press_ebook_Introducing_Power_BI_PDF.pdf";"http://ligman.me/29pufLO";"12.4MB"
"<unavailable>";"http://ligman.me/29wODdA";"<null>"
"<unavailable>";"http://ligman.me/29vch9q";"<null>"
"<unavailable>";"http://ligman.me/29EmfZc";"<null>"
"<unavailable>";"http://ligman.me/29LXmMt";"<null>"
"Power BI technical guides.zip";"http://ligman.me/29qwKfQ";"140.5MB"
"<unavailable>";"http://ligman.me/29sp3nZ";"<null>"
"<unavailable>";"http://ligman.me/29yWFFf";"<null>"
"<unavailable>";"http://ligman.me/29ZNaMN";"<null>"
"Microsoft_Press_eBook_Migrating_SQL_Server_Databases_to_Azure_8.5x11.pdf";"http://ligman.me/29gYy5h";"11.7MB"
"Microsoft_Press_eBook_Migrating_SQL_Server_Databases_to_Azure_Mobile-Only.pdf";"http://ligman.me/29NhudA";"9.1MB"
"9780735697225.PDF";"http://ligman.me/29jDRJf";"8MB"
"9780735697225.EPUB";"http://ligman.me/29conIf";"12MB"
"9780735697225.MOBI";"http://ligman.me/29cnLlL";"24.6MB"
"9780735698178.EPUB";"http://ligman.me/29fNYRE";"13.6MB"
"9780735698178.MOBI";"http://ligman.me/29cq9cw";"30.2MB"
"9780735698178.PDF";"http://ligman.me/29acqhj";"7.2MB"
"MICROSOFT_PRESS_EBOOK_AZURE_AUTOMATION_PDF.PDF";"http://ligman.me/29fJJCS";"4MB"
"9780735698154.EPUB";"http://ligman.me/29nbxWK";"5.4MB"
"9780735698154.MOBI";"http://ligman.me/29fO9MV";"11.6MB"
"Bring-the-cloud-to-your-datacenter-Microsoft-Azure-Stack.pdf";"http://ligman.me/29pr2x1";"0.9MB"
